name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,50000,closed,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,121050000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-05-01,2013-11-17,2015-03-10
22nd Century Group,Biotechnology,15034750,ipo,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18
23andMe,Biotechnology|Search,227049900,operating,USA,CA,SF Bay Area,Mountain View,8,2006-04-01,2005-11-02,2015-07-03
24Fundraiser.com,Non Profit|Social Fundraising,400000,operating,USA,IL,Chicago,Willowbrook,1,2007-08-01,2014-05-01,2014-05-01
24M Technologies,Clean Technology,16000000,operating,USA,MD,Salisbury,Cambridge,1,2010-01-01,2010-08-16,2010-08-16
24PageBooks,Software,50000,closed,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24
250ok,Software,300000,operating,USA,IN,Indianapolis,Indianapolis,2,2012-01-01,2012-09-01,2014-03-01
27 Perry,E-Commerce|Finance|Marketplaces,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17
28msec,Cloud Computing|Databases|Software|Web Development,5844811,operating,USA,CA,SF Bay Area,Palo Alto,1,2008-01-01,2013-10-28,2013-10-28
2Checkout,E-Commerce,72000000,operating,USA,OH,"Columbus, Ohio",Columbus,2,1999-01-01,2014-07-16,2015-09-15
2GO Mobile Solutions,Software,275000,operating,USA,TX,Dallas,Plano,1,2008-01-01,2010-04-09,2010-04-09
2lemetry,Internet of Things|M2M|Software,4000000,acquired,USA,CO,Denver,Denver,1,2011-09-01,2015-01-09,2015-01-09
2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,300000,operating,USA,WA,Seattle,Kirkland,2,2012-01-01,2014-05-15,2015-03-16
"2nd Story Software, Inc.",Software,85000000,acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,37644420,operating,USA,WA,Seattle,Seattle,4,2010-01-01,2011-12-06,2014-10-14
2NDNATURE,Landscaping|Natural Resources,20000,operating,USA,CA,SF Bay Area,Santa Cruz,1,2004-01-01,2013-03-31,2013-03-31
2Nite2Nite.net,Advertising|Media,6000,operating,USA,CA,Sacramento,Elk Grove,1,2013-09-13,2014-09-13,2014-09-13
2RedBeans,Curated Web|Online Dating|Social Network Media,2300000,operating,USA,CA,SF Bay Area,Dublin,1,2010-08-01,2014-10-15,2014-10-15
2U Inc.,EdTech|Education|Software,95875000,ipo,USA,MD,MD - Other,Hyattsville,6,2008-01-01,2009-03-25,2013-10-21
3-V Biosciences,Biotechnology,128477567,operating,USA,CA,SF Bay Area,Menlo Park,7,2007-03-01,2007-05-22,2015-03-17
30 Second Showcase,Apps|Creative|Design|Finance|Mobile|Photography|Software,25000,operating,USA,NJ,Newark,Clifton,1,2013-04-01,2013-05-20,2013-05-20
312 Capital,Finance|FinTech,500000,operating,USA,IL,Chicago,Chicago,1,2013-01-23,2014-09-16,2014-09-16
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,25654560,operating,USA,NY,New York City,New York,5,2007-09-01,2009-02-06,2012-07-19
"360fly, Inc.",Consumer Electronics|Software,17800000,operating,USA,PA,Pittsburgh,Pittsburgh,1,1998-01-01,2014-08-11,2014-08-11
360imaging,Biotechnology|Dental,1000000,operating,USA,GA,Atlanta,Atlanta,2,2005-01-01,2011-11-01,2013-01-01
365 Data Centers,Data Centers|Information Technology|Internet|Services,16000000,operating,USA,CA,SF Bay Area,Emeryville,1,2012-01-01,2014-09-10,2014-09-10
37coins,Bitcoin,525000,operating,USA,CA,SF Bay Area,Sunnyvale,2,2014-01-01,2014-03-15,2014-06-01
382 Communications,Mobile,1600000,operating,USA,MA,Boston,Quincy,1,2010-01-01,2012-01-13,2012-01-13
3Cinteractive,Business Services|Marketing Automation|Mobile,6000000,operating,USA,FL,Palm Beaches,Boca Raton,1,2005-01-01,2011-03-01,2011-03-01
3Claps,Babies|Big Data Analytics|E-Commerce|Fashion|Kids,35000,operating,USA,NY,New York City,New York,1,2015-02-01,2015-07-01,2015-07-01
3ClickEMR Corporation,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,500000,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01
3CLogic,Customer Service|Sales and Marketing|Software|Telephony,9311190,operating,USA,MD,"Washington, D.C.",Rockville,4,2005-01-01,2013-01-14,2015-07-07
XDN/3Crowd Technologies,Enterprise Software,7289000,acquired,USA,CA,SF Bay Area,San Mateo,3,2010-01-01,2009-12-22,2012-07-01
3D-4U,3D|3D Technology|Events,750000,operating,USA,WA,WA - Other,Pullman,1,2012-01-01,2014-10-14,2014-10-14
3D Biomatrix,Biotechnology,1465000,operating,USA,MI,Detroit,Ann Arbor,2,2010-01-01,2009-10-05,2013-02-05
3D Data,3D Technology|Sensors,500000,operating,USA,MA,Boston,Quincy,2,2013-01-01,2014-06-02,2015-02-19
3D FUTURE VISION II,Games,503000,closed,USA,FL,Orlando,Longwood,2,2011-01-01,2011-06-22,2013-03-21
3D HEIGHTS,Photography|Video,350000,operating,USA,NY,New York City,New York,1,2013-02-18,2015-01-14,2015-01-14
"3D Operations, Inc.",3D Printing|Health and Wellness|Health Care,7500,operating,USA,TN,Chattanooga,Chattanooga,1,2014-06-18,2014-05-15,2014-05-15
3D Product Imaging,3D|3D Technology|E-Commerce|Internet|Online Shopping,240000,operating,USA,WA,Seattle,Seattle,2,2013-01-01,2014-01-01,2014-05-15
3D Robotics,Drones|Manufacturing,99000000,operating,USA,CA,San Diego,San Diego,4,2009-01-01,2012-11-05,2015-04-23
3D Sports Technology,Software,909940,operating,USA,MN,Minneapolis,Minneapolis,3,2010-01-01,2011-01-21,2013-07-25
3D Systems,Software,169500000,ipo,USA,SC,SC - Other,Rock Hill,3,1986-01-01,2014-01-15,2014-10-13
3DBin,E-Commerce,400000,operating,USA,CA,SF Bay Area,Redwood City,1,2009-02-06,2014-10-12,2014-10-12
3dCart Shopping Cart Software,E-Commerce,1250000,operating,USA,FL,Ft. Lauderdale,Lauderhill,1,1997-05-01,2010-01-01,2010-01-01
3Derm Systems,3D|Medical|Physicians,1880000,operating,USA,CT,Hartford,New Haven,4,2012-01-01,2013-04-02,2015-07-23
3Diligent,3D Printing|Manufacturing,1150000,operating,USA,CA,Los Angeles,El Segundo,2,2014-07-23,2014-08-01,2015-03-15
3DPhotoWorks,Printing,3000,operating,USA,NJ,Newark,Chatham,1,2011-01-01,2015-11-05,2015-11-05
3DT,Finance|Software|Venture Capital,140000,operating,USA,AZ,Phoenix,Scottsdale,1,2014-02-01,2014-08-22,2014-08-22
3FLOZ,Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel,1387500,operating,USA,NY,New York City,New York,2,2009-11-01,2013-08-16,2015-01-16
Nimble VR,Software,2249999,acquired,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2012-03-30,2014-04-02
3Jam,Messaging|SMS,4000000,operating,USA,CA,SF Bay Area,San Francisco,1,2005-01-01,2007-07-01,2007-07-01
3Leaf,Web Hosting,65000000,acquired,USA,CA,SF Bay Area,Santa Clara,3,2004-06-01,2005-01-01,2008-09-22
3PAR,Cloud Data Services|Services|Software,148000000,acquired,USA,CA,SF Bay Area,Fremont,3,1999-01-01,2000-05-01,2004-02-10
3Pillar Global,Consulting|Software,25920000,operating,USA,VA,"Washington, D.C.",Fairfax,4,2006-08-01,2010-01-29,2013-06-06
3Play Media,Software,1011601,operating,USA,MA,Boston,Cambridge,3,2007-01-01,2010-02-08,2011-10-21
3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,5000000,operating,USA,CA,SF Bay Area,San Francisco,2,2007-12-01,2010-04-20,2013-04-24
3Scan,Biotechnology,7063012,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-08-31,2014-12-05
3seventy,App Marketing|Software,2000000,operating,USA,TX,Austin,Austin,1,2008-01-01,2011-08-19,2011-08-19
3SI Security Systems,Physical Security|Security,13000000,operating,USA,PA,Philadelphia,Malvern,1,1971-01-01,2002-07-29,2002-07-29
3TEN8,Software,1670000,operating,USA,CA,SF Bay Area,Santa Clara,1,2013-08-15,2015-04-15,2015-04-15
3TIER,Clean Technology,15000000,acquired,USA,WA,Seattle,Seattle,3,1999-01-01,2007-09-05,2010-02-25
3VR,Security,64567194,operating,USA,CA,SF Bay Area,San Francisco,7,2002-01-01,2006-01-17,2015-01-13
3X Systems,Flash Storage|Security,3393925,operating,USA,OH,"Columbus, Ohio",Columbus,2,2007-11-01,2008-02-20,2010-05-26
4-Tell,E-Commerce,2374979,operating,USA,WA,WA - Other,Stevenson,6,2009-04-01,2011-07-01,2015-03-09
405Labs,Machine Learning|Network Security,81000,operating,USA,CA,San Diego,San Diego,1,2014-01-01,2014-10-22,2014-10-22
40billion.com,Crowdfunding|Entrepreneur|Finance|FinTech|Networking|Peer-to-Peer|Social Media|Venture Capital,1050000,operating,USA,GA,Atlanta,Atlanta,3,2008-01-23,2008-04-01,2010-06-01
410 Labs,Messaging,750000,operating,USA,MD,Baltimore,Baltimore,1,2010-01-01,2011-07-11,2011-07-11
41st Parameter,Security,38064570,acquired,USA,CA,SF Bay Area,San Jose,4,2004-01-01,2006-05-08,2012-04-11
Loctronix,Software,1000000,operating,USA,WA,Seattle,Woodinville,1,2006-01-01,2013-01-17,2013-01-17
42Floors,Commercial Real Estate|Real Estate,17400000,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-09-01,2013-01-31
44LAB5,Creative|Creative Industries|Databases,450000,operating,USA,MD,MD - Other,La Plata,1,2015-01-05,2015-05-31,2015-05-31
480 Biomedical,Biotechnology,49656999,operating,USA,MA,Boston,Watertown,5,2011-01-01,2012-02-14,2015-06-19
4Cable TV,Clean Technology,20900,operating,USA,SC,Myrtle Beach,Conway,1,2005-01-01,2013-10-07,2013-10-07
4D Molecular Therapeutics,Biotechnology,6999995,operating,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2015-08-13,2015-08-13
4DK Technologies,Mobile,3378975,acquired,USA,VA,"Washington, D.C.",Herndon,1,2005-01-01,2011-12-12,2011-12-12
4Home,Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless,9416354,acquired,USA,CA,SF Bay Area,Sunnyvale,6,2006-01-01,2006-08-01,2010-02-03
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,320288000,operating,USA,CA,SF Bay Area,San Mateo,8,2004-09-08,2005-03-01,2014-08-01
4moms,Hardware + Software,60000000,operating,USA,PA,Pittsburgh,Pittsburgh,5,2005-01-01,2005-06-17,2015-09-29
4Soils,Apps|Education|Kids|Religion,50000,operating,USA,CA,SF Bay Area,Stanford,1,2012-01-01,2013-08-26,2013-08-26
4URSPACE,Real Estate|Retail|Service Providers,50000,operating,USA,NY,New York City,New York,1,2013-01-24,2015-08-13,2015-08-13
5 examples,Software,250000,operating,USA,NC,Raleigh,Morrisville,1,2004-01-01,2010-07-14,2010-07-14
ChartRequest,Software,740000,operating,USA,NY,New York City,New York,2,2012-01-01,2012-03-29,2013-01-08
5 Star Mobile,Consumer Electronics|Mobile Devices,180000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,2013-07-23,2014-02-20,2014-02-20
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,12900000,acquired,USA,CA,SF Bay Area,San Francisco,6,2010-01-01,2009-12-15,2013-03-12
5BARz International,Mobile|Technology|Wireless,6100000,ipo,USA,WA,Seattle,Seattle,2,2008-01-01,2013-11-12,2014-11-17
5min Media,Education|Games|Video,12800000,acquired,USA,NY,New York City,New York,3,2007-01-01,2007-04-01,2009-07-23
5o9,Software,50000,operating,USA,CO,Denver,Boulder,1,2006-01-01,2013-05-14,2013-05-14
5th Avenue Media,Advertising|Digital Media|Distribution|Social Media,250000,operating,USA,NY,New York City,New York,1,2012-07-04,2012-09-02,2012-09-02
5th Finger,Mobile,7000000,acquired,USA,CA,SF Bay Area,San Francisco,1,2008-01-01,2008-06-13,2008-06-13
5th Planet Games,Games|Mobile|Mobile Games|Online Gaming,3000000,operating,USA,CA,Sacramento,Roseville,1,2009-01-01,2014-07-16,2014-07-16
5to1,Advertising|Internet|Internet Marketing,17129760,acquired,USA,WA,Seattle,Seattle,4,2009-01-01,2009-06-17,2010-11-10
64 Pixels,Browser Extensions|Curated Web|Social Media,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2010-10-01,2010-10-01,2010-10-01
640 Labs,Software,3050000,acquired,USA,IL,Chicago,Chicago,3,2013-01-01,2014-06-20,2014-10-20
6connect,Web Hosting,3019139,operating,USA,CA,SF Bay Area,San Francisco,2,2009-01-01,2011-08-23,2013-04-12
6Qube,Information Services|Information Technology|Internet Marketing|SEO,100000,operating,USA,TX,Austin,Cedar Park,1,2009-01-01,2014-10-29,2014-10-29
6fusion,Enterprise Software,37143865,operating,USA,NC,Raleigh,Raleigh,5,2008-01-01,2010-08-23,2015-07-02
6sense,B2B|Predictive Analytics|Sales and Marketing,32000000,operating,USA,CA,SF Bay Area,San Francisco,3,2013-01-01,2013-04-18,2015-02-19
6SensorLabs,Health and Wellness|Specialty Foods,8000000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-10-01,2014-09-11,2014-09-12
6th Sense Analytics,Software,6700000,acquired,USA,NC,Raleigh,Morrisville,2,2004-01-01,2005-11-11,2007-01-31
6th Wave Innovations Corporation,Nanotechnology,2569720,operating,USA,MD,Baltimore,Arnold,2,2013-07-03,2014-04-29,2015-07-08
7 Billion People,Analytics|E-Commerce|Software,6528902,closed,USA,TX,Austin,Austin,3,2006-01-01,2009-02-09,2012-07-13
7 Oaks Pharmaceutical,Biotechnology,1613014,operating,USA,SC,Greenville - Spartanburg,Easley,1,1997-01-01,2011-06-06,2011-06-06
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,2450000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,5,2011-03-03,2012-03-20,2014-06-08
Shoppable,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,1500000,operating,USA,NY,New York City,New York,2,2011-11-01,2011-10-26,2012-09-01
79 Group,Manufacturing,1500000,operating,USA,TX,Houston,Pearland,1,2012-04-01,2014-07-10,2014-07-10
7AC Technologies,Clean Technology,16036000,operating,USA,MA,Boston,Beverly,6,2009-01-01,2011-12-13,2015-06-26
7Park Data,Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS,3000000,operating,USA,NY,New York City,New York,1,2012-01-01,2015-08-26,2015-08-26
7signal Solutions,Web Hosting,9850000,operating,USA,OH,Akron - Canton,Akron,4,2006-01-01,2011-01-01,2013-10-15
7Summits,Brand Marketing|Communities|Consulting|Semantic Search|SEO,600000,operating,USA,WI,Milwaukee,Milwaukee,3,2009-04-01,2010-01-01,2014-05-01
8 Inc.,Design|Internet|Shared Services,4500000,operating,USA,NY,New York City,New York,2,2013-03-01,2013-07-01,2014-08-01
800razors,E-Commerce,100000,operating,USA,MD,"Washington, D.C.",Southern Md Facility,1,2012-01-01,2013-02-19,2013-02-19
818 Sports & Entertainment,Digital Entertainment|Entertainment|Sports,27000000,operating,USA,NY,New York City,New York,2,2012-01-01,2013-03-15,2013-05-30
8fit - Fitness for the rest of us,Exercise|Fitness|Tracking,2730000,operating,USA,CA,SF Bay Area,Palo Alto,3,2014-03-01,2014-02-26,2015-08-31
8tracks Radio,Music,5279980,operating,USA,CA,SF Bay Area,San Francisco,3,2008-08-08,2012-10-26,2015-06-11
8x8 Inc,Contact Centers|Telecommunications|Unifed Communications|Video Conferencing,126000000,ipo,USA,CA,SF Bay Area,San Jose,1,1987-01-01,2013-11-20,2013-11-20
9+ Program,Consulting,4500000,operating,USA,CA,SF Bay Area,Menlo Park,2,2013-01-01,2013-07-11,2013-09-03
908 Devices,Manufacturing,29300000,operating,USA,MA,Boston,Boston,4,2012-01-01,2012-09-05,2015-05-06
915 Labs LLC,Food Processing,3000000,operating,USA,CO,Denver,Denver,2,2014-01-01,2014-11-20,2015-11-04
Applauze,Mobile|Publishing,10450000,operating,USA,CA,SF Bay Area,Mountain View,3,2010-11-01,2011-01-08,2013-10-23
99designs,Crowdsourcing|Design|Marketplaces|Online Shopping,45000000,operating,USA,CA,SF Bay Area,Oakland,2,2008-02-01,2011-04-28,2015-04-15
99Gamers,E-Commerce|Trading|Video Games,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2012-06-01,2014-11-01,2014-11-01
9Lenses,Business Analytics|Enterprise Software|SaaS|Software,7200000,operating,USA,VA,"Washington, D.C.",Sterling,3,2011-01-01,2013-09-12,2015-02-27
9Mile Labs,Software|Technology,900000,operating,USA,WA,Seattle,Seattle,1,2013-01-01,2013-11-04,2013-11-04
9SLIDES,Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,925000,acquired,USA,WA,Seattle,Redmond,2,2010-06-01,2013-05-30,2013-10-03
9Star Research,Software,435400,operating,USA,TX,Austin,Austin,1,2002-01-01,2011-07-25,2011-07-25
A Plus,Digital Media|News|Social Media,3500000,operating,USA,NY,New York City,New York,1,2013-01-01,2015-03-19,2015-03-19
A-76 Technologies,Chemicals,2500000,operating,USA,TX,Houston,Houston,1,2014-01-01,2015-02-23,2015-02-23
A Bit Lucky,Games|Social Games,10312103,closed,USA,CA,SF Bay Area,San Mateo,2,2009-10-01,2010-03-15,2011-03-25
A Class Limos,Limousines,45000,operating,USA,FL,Ft. Lauderdale,Pompano Beach,1,2011-11-11,2015-10-28,2015-10-28
A Dance for Me,Media|News|Photo Sharing|Video,1090000,operating,USA,MT,Missoula,Missoula,1,2011-07-31,2014-03-26,2014-03-26
A Family First Community Services,Health and Wellness,500000,operating,USA,GA,Atlanta,Atlanta,1,2008-01-01,2011-11-01,2011-11-01
A&H Software House,Security,1500000,operating,USA,NY,Long Island,Copiague,1,2005-01-01,2015-07-15,2015-07-15
A la Mobile,Mobile,14300000,operating,USA,CA,SF Bay Area,San Ramon,3,2005-06-01,2005-07-01,2008-05-02
A Place for Rover,Internet,15999994,operating,USA,WA,Seattle,Seattle,1,2011-01-01,2015-03-20,2015-03-20
A1 Software Group Inc (Selly Automotive),Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software,20000,operating,USA,CA,SF Bay Area,San Francisco,2,2014-01-01,2014-10-14,2015-03-03
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,118000000,ipo,USA,CA,SF Bay Area,San Jose,4,2004-10-01,2005-01-01,2013-10-03
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,502860000,ipo,USA,MA,Worcester,Westborough,8,2001-01-01,2005-11-01,2012-06-07
AAIPharma Services,Biotechnology,20000000,operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,1979-01-01,2012-01-11,2012-01-11
AAMPP,Music|Social Network Media,350000,operating,USA,FL,Ft. Lauderdale,Hollywood,1,2000-05-31,2013-12-01,2013-12-01
Aarden Pharmaceuticals,Biotechnology,500000,closed,USA,IN,Indianapolis,Indianapolis,1,2008-01-01,2011-01-03,2011-01-03
Aardvark,Search,6000000,acquired,USA,CA,SF Bay Area,San Francisco,2,2007-07-01,2007-01-01,2008-10-01
Aasonn,Human Resources,20000000,operating,USA,IL,Chicago,Naperville,1,2006-01-01,2014-06-04,2014-06-04
Aastrom Biosciences,Biotechnology,40000000,ipo,USA,MI,Detroit,Ann Arbor,1,1989-01-01,2012-03-09,2012-03-09
Abacast,Analytics,500000,acquired,USA,WA,Seattle,Vancouver,1,2000-04-02,2010-11-11,2010-11-11
Abacus,SaaS|Software,3500000,operating,USA,NY,New York City,New York,2,2013-01-01,2014-01-01,2014-10-29
Abakan,Clean Technology,4211031,operating,USA,FL,Miami,Miami,6,2006-01-01,2012-05-10,2014-10-08
Abakus,Advertising|Advertising Platforms|Optimization|Software,825000,operating,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2013-12-25,2013-12-25
Abaris,Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software,720000,operating,USA,PA,Philadelphia,Philadelphia,2,2014-05-01,2014-07-24,2015-10-20
ABARTA Oil & Gas,Oil & Gas,24750000,operating,USA,PA,Pittsburgh,Pittsburgh,1,1979-01-01,2015-01-28,2015-01-28
AbbeyPost,E-Commerce|Fashion|Women,875000,acquired,USA,CA,SF Bay Area,San Mateo,5,2014-04-01,2013-07-30,2014-07-11
Abbott Labs,Biotechnology|Health and Wellness|Medical|Venture Capital,6790000,ipo,USA,IL,Chicago,Des Plaines,2,1991-01-01,2009-03-16,2011-03-15
Abeona Therapeutics,Biotechnology,12850000,operating,USA,OH,Cleveland,Cleveland,3,2013-01-01,2013-12-16,2015-07-28
Abe's Market,E-Commerce,19148000,operating,USA,IL,Chicago,Chicago,5,2009-09-01,2010-06-29,2014-02-07
AbGenomics,Biotechnology,39610000,operating,USA,CA,SF Bay Area,Los Altos,3,2000-06-01,2012-06-19,2014-08-27
