Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
1005.0,CA,42.358880000000006,-71.05682,92101.0,c:6669,San Diego,,Bandsintown,1.0,1/1/2007,,4/1/2009,1/1/2010,2.2493000000000003,3.0027,4.6685,6.7041,3.0,3.0,375000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:6669,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,acquired
204.0,CA,37.238915999999996,-121.97371799999999,95032.0,c:16283,Los Gatos,,TriCipher,1.0,1/1/2000,,2/14/2005,12/28/2009,5.126,9.997300000000001,7.0055000000000005,7.0055000000000005,9.0,4.0,40100000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,enterprise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,c:16283,1.0,0.0,0.0,1.0,1.0,1.0,4.75,1.0,acquired
1001.0,CA,32.901049,-117.192656,92121.0,c:65620,San Diego,San Diego CA 92121,Plixi,1.0,3/18/2009,,3/30/2010,3/30/2010,1.0329000000000002,1.0329000000000002,1.4575,2.2055000000000002,5.0,1.0,2600000.0,2.0,CA,1.0,0.0,0.0,0.0,0.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:65620,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,acquired
738.0,CA,37.320309,-122.05004000000001,95014.0,c:42668,Cupertino,Cupertino CA 95014,Solidcore Systems,1.0,1/1/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5.0,3.0,40000000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:42668,0.0,0.0,0.0,1.0,1.0,1.0,3.3333000000000004,1.0,acquired
1002.0,CA,37.779281,-122.419236,94105.0,c:65806,San Francisco,San Francisco CA 94105,Inhale Digital,0.0,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0.0,1.6685,0.038400000000000004,0.038400000000000004,2.0,2.0,1300000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,games_video,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,c:65806,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,closed
379.0,CA,37.406914,-122.09037000000001,94043.0,c:22898,Mountain View,Mountain View CA 94043,Matisse Networks,0.0,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,4.5452,5.0027,5.0027,3.0,1.0,7500000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,network_hosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:22898,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,closed
195.0,CA,37.3915589,-122.07026429999999,94041.0,c:16191,Mountain View,,RingCube Technologies,1.0,1/1/2005,,9/21/2006,3/18/2010,1.7205000000000001,5.211,3.0,6.6082,6.0,3.0,26000000.0,2.0,CA,1.0,0.0,0.0,0.0,0.0,software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:16191,1.0,0.0,1.0,1.0,0.0,0.0,1.6667,1.0,acquired
875.0,CA,38.057106999999995,-122.513742,94901.0,c:5192,San Rafael,,ClairMail,1.0,1/1/2004,,8/24/2005,10/4/2010,1.6466,6.7616000000000005,5.6055,7.3616,25.0,3.0,34100000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:5192,0.0,0.0,1.0,1.0,0.0,1.0,3.5,1.0,acquired
16.0,MA,42.712207,-73.203599,1267.0,c:1043,Williamstown,Williamstown MA 1267,VoodooVox,1.0,1/1/2002,,8/2/2005,2/8/2013,3.5863,11.112300000000001,8.0055,9.9945,13.0,3.0,9650000.0,4.0,MA,0.0,0.0,1.0,0.0,0.0,mobile,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:1043,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,acquired
846.0,CA,37.427234999999996,-122.145783,94306.0,c:498,Palo Alto,,Doostang,1.0,6/1/2005,,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,6.1151,14.0,3.0,5750000.0,4.0,CA,1.0,0.0,0.0,0.0,0.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:498,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,acquired
685.0,CA,37.4429885,-122.1624131,94025.0,c:3949,Menlo Park,,Zong,1.0,11/15/2000,,7/1/2005,4/26/2010,4.627400000000001,9.449300000000001,10.1342,10.6493,22.0,3.0,27500000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,mobile,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:3949,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,acquired
835.0,CA,37.452992,-122.185098,94025.0,c:4829,Menlo Park,,Center'd,0.0,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.337,-0.6164000000000001,4.6082,8.0,5.0,10400000.0,2.0,CA,1.0,0.0,0.0,0.0,0.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:4829,1.0,1.0,1.0,0.0,0.0,0.0,1.75,1.0,closed
531.0,KY,38.241467,-85.724511,40204.0,c:30290,Louisville,,Resonant Vibes,0.0,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.904100000000001,4.904100000000001,,,0.0,1.0,350000.0,0.0,KY,0.0,0.0,0.0,0.0,1.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:30290,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,closed
137.0,NY,40.702760000000005,-73.98666800000001,11201.0,c:1491,Brooklyn,,drop.io,1.0,11/26/2007,,12/3/2007,5/3/2010,0.019200000000000002,2.4356,0.7945,4.3781,15.0,3.0,9950000.0,3.0,NY,0.0,1.0,0.0,0.0,0.0,education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:1491,0.0,0.0,1.0,1.0,1.0,0.0,2.3333,1.0,acquired
162.0,CO,39.7462728,-104.99115719999999,80202.0,c:15645,Denver,,Stratavia,1.0,1/1/2001,,8/31/2005,12/29/2009,4.6658,8.997300000000001,8.8384,8.8384,12.0,5.0,10700000.0,1.0,CO,0.0,0.0,0.0,0.0,1.0,software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:15645,0.0,0.0,1.0,1.0,0.0,0.0,2.5,1.0,acquired
898.0,VA,38.901301,-77.265158,22182.0,c:54177,Vienna,Vienna VA 22182,Invicta Networks,0.0,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,6.6082,,,0.0,1.0,200000.0,0.0,VA,0.0,0.0,0.0,0.0,1.0,public_relations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:54177,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,closed
235.0,CA,37.3962827,-122.105531,94022.0,c:16770,Los Altos,,QSecure,0.0,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5.5014,8.0,5.0,49000000.0,1.0,CA,1.0,0.0,0.0,0.0,0.0,security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:16770,1.0,0.0,1.0,1.0,1.0,1.0,3.5,1.0,closed
25.0,CA,37.590339,-122.341715,94010.0,c:107,Burlingame,,MeeVee,1.0,7/1/2000,,2/1/2005,9/1/2007,4.5918,7.1726,-0.49860000000000004,12.6795,7.0,4.0,25000000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,games_video,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,c:107,0.0,0.0,1.0,1.0,1.0,1.0,3.5,1.0,acquired
858.0,NY,40.730646,-73.986614,10004.0,c:50727,New York,New York NY 10004,SinglePlatform,1.0,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.5808,1.2849000000000002,3.0027,10.0,3.0,4575000.0,3.0,NY,0.0,1.0,0.0,0.0,0.0,web,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:50727,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,acquired
454.0,CA,37.446411,-122.16054000000001,94301.0,c:26368,Palo Alto,,Bling Nation,0.0,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014000000000003,2.8301000000000003,3.0877000000000003,3.4932000000000003,13.0,2.0,28000000.0,3.0,CA,1.0,0.0,0.0,0.0,0.0,enterprise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,c:26368,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,closed
369.0,TX,30.2350399,-97.8001299,78735.0,c:22291,Austin,,Metreos Corporation,1.0,1/1/2001,,3/20/2003,10/14/2004,2.2137000000000002,3.7863,4.0877,9.4986,8.0,2.0,4355000.0,3.0,TX,0.0,0.0,0.0,1.0,0.0,software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c:22291,0.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,acquired
289.0,WA,47.602605399999995,-122.28486509999999,98122.0,c:17857,Seattle,,Hidden City Games,0.0,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3.0,1.0,15000000.0,1.0,WA,0.0,0.0,0.0,0.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c:17857,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,closed
